object_name,x_coordinates,y_coordinates,z_coordinates,color
Bicycle,"1.722385809945652,1.8224034300807874,0.9727615303135959,-0.4816847217854976,0.21256761222631448,1.2880579503904457,-0.8519477944613806,-0.702449761764647","-0.23424927283330654,-0.9213633804576848,-0.7148407372587591,-0.33910179978842847,0.5288034368508181,-0.5459373439832151,-0.8271571488929287,1.8114612535067791","1.8237075956504447,0.9055091206802288,1.119810859341007,1.5153888068892263,-0.5969095861222165,1.817021621060194,0.2410743072334247,0.3969469806155348","rgba(249, 129, 161, 0.7)"
Cube,"0.5988788643876874,1.0288947014987828,0.8840065271156896,-0.43814930593893264,0.22197447549350402,1.5543850213475805,-0.7276406534108913,0.8138969508982026","1.6985900161693057,0.9868091887792179,-0.23415436937226142,-0.647644194140082,1.260869003974995,0.7549054073391592,1.1300413942569438,-0.29546379425861036","1.8191482194863213,1.9166304177867617,1.4736939271593101,-0.5950365950026495,0.8461263312634135,-0.315185634293636,0.7334180186051509,-0.042238081185386966","rgba(81, 90, 57, 0.7)"
Cube,"-0.3207231741171188,-0.6768250695356427,0.3518032634474504,-0.1705713644907063,0.4537664182106105,1.292707359884636,0.4639247609956523,-0.24624368371610117","0.5215129326312744,0.1351598760946029,0.39458473187251397,1.3409176845007251,-0.6883075159711078,1.667152797362626,0.0014901685951007604,-0.5776707970375833","-0.27292316029687946,0.715439722430607,-0.21329223553273957,-0.1334406815581627,1.3074607140761398,-0.9742896449997612,-0.08884153771154046,-0.8183369497590475","rgba(107, 249, 16, 0.7)"
Cube,"0.8750844951727981,0.42306037843569366,0.6076059992316929,1.284648946669273,-0.577469904068398,-0.08549188034230792,0.14592365254995654,0.2866543567805153","1.5152742590208055,-0.4269077926190512,0.5982544024653085,-0.22692441716582312,1.5296388639900402,-0.6885183966299594,0.7502564379112755,-0.5559602937576112","-0.8822101760901941,-0.5897507888286599,-0.09775251260693496,1.7464833236296502,-0.5101272066270199,-0.809965057612312,-0.44030454218779025,0.11251817532461206","rgba(31, 46, 11, 0.7)"
Sphere,"1.5273901997169288,0.40878941738261787,-0.5548855380967022,1.3508685842621668,-0.04831852610028542,1.994391288087602,1.8383638862693252,-0.5648408477400491","0.6748452319446274,-0.30291020045730166,-0.33283662619597,-0.6533945449013437,0.6429122622371073,1.2381998612191527,0.1560763468897859,0.8443182288716435","-0.48634477659911746,0.6398028143776426,0.9941276085478268,-0.0014589703859291259,1.519341437792948,1.6372763441302158,1.2241700154452073,-0.771118685121806","rgba(241, 204, 136, 0.7)"
Bicycle,"0.024869725412922428,0.10050254657029534,-0.702932304580538,-0.029468458577858514,-0.12241916809489606,1.2067191774694561,1.1666561270399578,0.05454702117285892","1.9660000113978686,0.8985324466356661,1.8272968991685659,-0.8499083746967246,1.227575217339354,0.015742777228791915,-0.023462813706757624,1.2171723792597295","0.26027908792113097,1.357505196998626,0.7467876564072813,0.977450989885466,-0.9379845225691222,-0.04973677038309543,0.5668845475614246,1.5742474525687782","rgba(254, 166, 49, 0.7)"
Cone,"1.5656747533140716,-0.8621576025440472,0.28539799120804954,0.9252941531388905,1.2526881827925753,-0.4019330176361038,-0.05330410225176496,1.2170315796536002","1.312420165935436,0.35684928440455366,-0.8478420694635106,0.9913943141011723,-0.03567818494698494,0.3304430762421382,0.7853852772207612,-0.8293785778236153","-0.5541906158046723,-0.38139232749261875,0.6842075360014928,0.6777301016985349,1.9585101962683669,1.3668076406410048,-0.44244721888691696,1.024578032103065","rgba(130, 158, 119, 0.7)"
Cube,"0.5265098733894025,-0.647500205061071,1.3311533127609354,1.6893443055823867,1.2894485655753147,1.7105185842030455,-0.14052952138683517,-0.24033415248982826","0.35887794076790325,0.34908415339038923,0.42446322981193507,1.1199747737130563,-0.5897287910665917,1.4080709372382882,1.2382377103488258,0.9037159706167446","0.10177227941728795,0.21381487860617132,1.7434244275720898,-0.4345496161031117,0.08185995642025956,-0.7739412891513362,-0.5658769069872238,-0.0744994078346296","rgba(61, 186, 149, 0.7)"
Cone,"-0.5110822550414,0.8300555791821942,1.0369127007339651,1.672394370590581,1.8518948163401752,0.40057530222104853,1.6624342436480744,1.8126428501840133","-0.41132677246869254,-0.9572040158059751,1.3812490931139458,-0.052974277906994494,0.005065103720511388,1.278747976290362,0.23229287692808764,0.6965415606824512","0.6746530387733123,0.6426260801000567,0.10739570605238624,0.8209408614944276,-0.22477970297066485,-0.62131860173303,-0.6764996837030427,-0.8329499674549201","rgba(119, 14, 32, 0.7)"
Bicycle,"1.85129850357034,0.5057160853206022,1.935800827905629,-0.18290829484034632,1.2945326561319348,1.8185339663794382,-0.7648454207760486,1.1146962627809938","-0.5091253141377045,1.9075476925947323,-0.28306880432522896,-0.251883713362285,-0.5055894108210481,0.4514571463582806,1.2749354473555572,0.9192223749556083","1.9401583632486092,0.2760590379987038,0.002744886957330106,0.09761928018915,-0.6188380767729323,0.8985697166566786,1.4628722306520077,-0.9133111540162079","rgba(164, 245, 211, 0.7)"
Cube,"-0.7274136495810082,1.0683881413953755,-0.7918609674166065,-0.5127432326553181,-0.9955439363495401,-0.5034783041033415,1.6129753908128421,0.2954723080423034","0.7140760372728492,-0.8730298684863302,1.3084369562149654,1.2640824795181222,1.3515210412389767,0.8492324713940671,1.9498622587854633,0.5857457860467381","1.8700457902475405,0.31649832730274485,-0.9260076049007679,1.6228876204062814,1.2964716869649502,-0.5081113090430333,0.33005045302579394,1.7530632182156873","rgba(14, 212, 73, 0.7)"
Bicycle,"1.6401056521001207,-0.8860468913339876,1.5845347129965148,1.1437817673797417,1.1190244560452896,-0.9493034167676161,-0.2538220138158228,-0.005837271848064485","1.51115406817758,-0.3829965470421087,1.3874065852532382,-0.9009517687028378,0.9594642965761468,1.6242666214854964,-0.09960851451506825,0.34154671419725324","-0.48439880887376785,-0.7646049854583791,-0.9366832656933696,1.65047611611742,0.45846896658647385,-0.38515039240540394,-0.9150736663423842,1.6288962823940998","rgba(226, 231, 80, 0.7)"
Car,"1.2076207669468446,0.5048733421797733,1.1490514439335673,-0.20249268044920643,-0.041305671765727414,-0.6069442520718482,-0.232793236291008,1.3111486167951911","1.743504342674242,-0.8138921759063772,1.473802287681035,0.1975601029192493,0.8537544160203447,0.9037041879333216,-0.5240290100599527,1.6201912750884193","-0.6058562373171632,0.6127589876505399,-0.7783559985119379,1.938185871753928,-0.6852446813894877,0.4681682988446445,1.7620564258811715,0.4028229656238247","rgba(99, 81, 184, 0.7)"
Cube,"1.541789903586709,1.5508127880538085,0.6035530331486849,0.006839522493464312,-0.8883127675049189,0.5901903450124539,-0.6446429063527259,1.8633319837076057","0.7427752967697456,-0.3510681746276091,1.2294310862035331,0.17319044996559474,-0.28817007323473554,1.289454838390565,0.844745651539875,1.4256869427608598","0.39630059802675266,0.055937040099885316,0.263152927235502,1.2957741492986097,-0.6221701652926114,0.3797736906073652,0.9106913288477292,-0.4230853550807986","rgba(179, 101, 117, 0.7)"
Car,"-0.10912957643264554,-0.40158599787856497,-0.5662263635720199,1.6688837532195135,-0.27407310998487944,1.007072247316529,1.9457561795376983,1.2125425195445905","1.6259654901322165,0.5376820784469709,1.440088139437247,0.5611004926311025,1.2902066853345646,-0.2986014359956144,1.5657857580639698,0.09800404956657172","-0.6760534243549053,1.9633076507739018,1.032671625128561,-0.2377752937693277,1.8759710552539026,-0.8740911818443708,1.727655122396642,1.423151802641546","rgba(174, 52, 28, 0.7)"
Cube,"1.9265232495819244,1.0752375729947725,0.7319096750438565,-0.39039483797840535,1.0656431224131624,0.8826458116091827,0.43684050065307645,0.32600871138300436","0.27462460060557836,0.7634468978916358,-0.11967684959679525,-0.6667697329324102,1.6380267112638762,1.7454979998109197,0.43772797901344784,0.7953491344816124","1.796104831973513,-0.7745989235727152,1.4357355223508637,1.378101546394177,1.4922303878648413,-0.8773945422413042,0.2815022022843032,-0.575028598584205","rgba(233, 204, 63, 0.7)"
Cone,"-0.176807538256198,1.6448204136418583,-0.424067273975301,1.9900250519441158,1.9938565706587053,0.906241945126153,-0.04787693424412498,1.9742681483597613","1.7422339582502748,0.03010497853062022,1.016058448794121,0.942338342831738,-0.3072990411580705,0.016807943139460102,1.403718398633833,0.5754663364599615","0.3629166598624587,-0.4747829126997062,0.348741209883662,1.2304753042496652,0.6424011593207899,-0.5860615832763247,1.9771271654797458,1.8479511737722132","rgba(170, 93, 184, 0.7)"
Car,"-0.47532791800586993,1.791498167042421,0.99567722389971,1.679616491207495,-0.8838368439948532,1.0160270918356824,0.7093301640329854,-0.33841736661106847","0.8537560025481892,-0.8358370926599686,1.2547789263766376,0.28925212406609146,-0.5357865735942879,0.26696642043545005,-0.9979663006284256,1.6814452493207477","-0.25444478965730455,0.5067398186523826,-0.5592251299010104,-0.10038736322663677,1.0330062461906757,1.4858615979998633,0.10506670592264822,1.4156107995796665","rgba(131, 22, 174, 0.7)"
Car,"-0.8686051022337287,1.9535917059103536,-0.6533598041783361,1.0965621281628497,1.7626550269403616,1.192020520210559,0.7954880262636537,1.8462406389537085","-0.1583400843786681,1.7234491007225108,0.3175660095355046,-0.6909272000211342,1.235968284621757,0.19531209354087964,-0.5928696467048755,-0.017375330216149565","-0.14188352145325478,-0.8120417484325124,0.3916813288357992,1.5410968989159528,0.5048874102826195,0.5278416879938508,-0.6396784760413583,1.4750451898511088","rgba(160, 138, 3, 0.7)"
Sphere,"0.009309961818061208,-0.32177145406749963,-0.27820472968434307,0.5097627338669879,0.0933908974737927,1.7966767879646648,1.6533251681594692,-0.13032682451642097","-0.3322748381482947,0.13511192504868763,-0.765603105458256,-0.1996336141013869,1.3845944291560532,-0.008793618079984133,0.15929322061510565,1.9815248779489711","0.27093982792885596,-0.14070667912527823,1.9636558874332617,-0.38089745319573043,1.637962060976239,-0.058375640567762455,1.090916402912209,-0.3313739191870667","rgba(65, 173, 131, 0.7)"
Car,"-0.46168149150677795,0.26877940495401065,0.032967351436695935,1.9851541791896588,1.8129939068773293,0.1463037343949387,1.433175013196629,0.38271713613058944","-0.2962853279615587,-0.20269607978410364,0.15311069250408504,-0.692084305841655,-0.5465922636190811,0.8691631462845351,1.7258652433649808,1.9769828569072834","-0.9260966030791439,0.13154576143319519,0.9506945723281466,-0.8870859925774702,-0.8642974434344051,-0.19767954380996855,-0.592874989903145,1.2063823311333697","rgba(244, 152, 178, 0.7)"
Cube,"1.2244092099041857,0.8149429759335769,-0.7916520032570259,1.2550058168773908,0.23837149495641174,1.2395102522317152,-0.6452369239197455,-0.952878645621511","1.580287735631885,-0.014578462694417649,0.36987383957696807,1.031526952171407,0.4241392364574921,-0.6894549971994411,1.8999439190251008,0.7498335071716848","-0.6818612474437488,-0.0039787479818804705,0.1515249236763463,-0.4657800792195703,-0.39895863245864915,1.347954267688055,1.6587756211721874,0.22672512976948545","rgba(47, 62, 230, 0.7)"
Bicycle,"-0.11294819634126174,1.13656423017086,-0.05462029161298376,-0.6607926586486985,-0.7242573717170868,-0.9030219889793091,0.05241337413216307,1.7054734605926685","0.5179887109300201,-0.701979068616585,1.304440467448405,-0.37320052206794263,0.9384427330721783,1.6116130581387664,-0.7007156527103482,1.0679903686180765","0.9470134164834716,1.0762872756115294,0.16486185761693406,-0.7610383844566455,-0.7715950316189276,1.8630659389395414,-0.5553008161260091,1.4790181472301223","rgba(73, 87, 225, 0.7)"
Sphere,"1.843968535195195,0.07215379276440004,-0.30387984932827017,-0.7486928110652565,1.0329232706627867,0.9846601014795311,0.12699225797217628,0.7544934180468923","1.1174282131230093,-0.3083829147520538,0.6071951020950537,0.8149276334744711,-0.4267756491224245,-0.15897550487400747,1.4912773893392344,1.5152402330845978","-0.7315773681022097,0.9843934577817444,1.0753654731724294,1.4234531311291905,0.10552872376550537,0.6857157665822324,1.6646088264745904,0.16619541792807224","rgba(210, 24, 73, 0.7)"
Bicycle,"1.0228282740254557,1.316582043027061,-0.12382639189002664,-0.342961883841464,1.809044896016296,0.03338072189799135,1.0239604611890405,-0.24742995373750498","1.3962915944649725,1.4364280409232357,-0.2847690563276707,0.9638612471935808,1.9882674351031473,-0.9598879789680935,1.653255551703516,-0.3347193213580112","-0.6930828454570916,0.32206790522459894,0.7665754763632835,-0.03698613939815887,1.4386697102020722,0.5511988083726802,-0.43683721460815783,1.4343865870739454","rgba(160, 49, 25, 0.7)"
Car,"1.1066816275040816,1.5803029923635261,0.5691892809391188,1.7575282905903862,0.4257513929548118,1.1163791944688377,-0.5991088930615384,1.464401415410359","-0.5235836760336552,0.30275216325755805,-0.6569550672598429,1.090025141485372,-0.38989909851353743,0.5108462021072557,1.7626402824249623,1.205847222918372","1.9288998716121144,1.084947231804823,-0.800205747038249,1.2451173002998068,-0.9879674009159152,1.8258197246669559,1.5250878506343342,1.4929190125827665","rgba(18, 186, 59, 0.7)"
Sphere,"-0.96004931623845,-0.04605499314484773,1.7932069678309333,-0.06840637772055369,-0.6873550694593015,1.8382861005690274,-0.6205858495212278,0.14032502428625726","-0.5366892948656258,1.3745696812189294,1.4143761121429623,1.0256924983906872,1.6520285208593908,0.8299562588862122,-0.06983286007317602,-0.6931231663790762","-0.3107266765310065,-0.7527607661157135,-0.31345978545047726,0.2199367407081121,0.3217493483428062,0.9255447494620359,0.8348872203415176,0.42623408148771746","rgba(200, 174, 181, 0.7)"
Cone,"1.6333347040912187,0.8620743417488472,-0.6743918653243062,1.2251372646905097,-0.5611707126875252,-0.01794829550157817,1.4603947942710884,1.270369097979776","1.757912522514128,1.5349247387423501,-0.4419360612433463,0.9000281970539685,-0.005754233096400996,1.1511778406271862,1.1537465523832928,0.369111207577292","1.058138826420235,1.847525517167289,-0.18992366510043623,1.0937464180376408,1.7949886704343605,0.874139592109108,1.0566324601787,-0.6674520871064353","rgba(81, 71, 53, 0.7)"
Cube,"-0.28454949744225677,1.2222697461595868,-0.8781651745536794,0.3069261306684221,0.7521020111454664,0.14521002923736903,1.325374457156558,0.3519228165453534","0.7305313103231954,0.20470480151407333,-0.9431869592135639,0.4481194075160533,1.4639733822035428,0.5546136698449273,1.1515842115759085,-0.2265693537552137","-0.9351775092600031,0.644508027238599,0.7463107544625944,-0.6528385825608448,0.8369687203975287,1.027143574009933,-0.7742738855018636,1.3356100364447974","rgba(43, 79, 189, 0.7)"
Bicycle,"0.6419319295436052,0.11462310892973804,1.9555898920119237,1.8582297080672996,1.9529653934776614,-0.47976450074878374,1.9689377985564844,-0.42033408857589893","0.14822525173280932,0.1543410569670094,0.9484412391042918,-0.9862654709766676,-0.2782744713641313,1.0511070516998582,1.6022464884403047,-0.19597766330534105","-0.7512459007565957,0.07510302067570906,-0.901424829672035,0.3258471563301768,1.9057760876280252,-0.6520742271424699,0.6915259989697482,1.6350398463986773","rgba(220, 189, 119, 0.7)"
Car,"1.9437799535339022,1.1842997503704202,0.6950229553105969,1.543712520953593,0.9566503514015503,-0.09314840633993104,1.8818285137029669,0.6300793511995564","1.7331479139073798,1.4444173328944405,-0.504520498456247,1.6662337051971585,1.5301835446842866,0.5884141347723957,1.930519072858961,0.08896800386352277","-0.4142968324459798,-0.7782606383758224,-0.44038604231584255,0.9011131657038258,0.11836641428406924,1.8342105003366616,1.9904775024248451,0.9703505483352268","rgba(217, 87, 166, 0.7)"
Cube,"1.9009118436400128,1.61686385530186,1.866784214599059,-0.7642705700415671,0.5686468516589276,0.563915273003347,0.45631082821876445,1.776705129354816","1.3969207548490985,-0.9882951994942757,1.5540697992495192,0.06966558490071195,1.573422472678311,0.5791896436957535,-0.7263389405978624,1.2315267360560656","-0.6761163685005737,1.0792082084349577,1.5983798303195904,1.0466386471423506,0.9279229016750679,0.7973458585622226,1.6701638353045345,-0.1650767985466065","rgba(248, 201, 49, 0.7)"
Car,"0.8255218367301869,0.6858345014744534,-0.286716038533839,-0.5941234572795225,-0.8602607145939075,1.0214493441539543,1.0611938116187836,-0.14936525517648513","-0.9856059543466084,-0.9125563168264506,0.503171411808971,1.7479795801733538,1.8572633087650479,0.5730089534247689,1.4294444063170193,1.3465328641534238","1.719546380911484,0.18952234605043228,0.7158006820769369,-0.5083938210991705,0.9475754691573355,0.8383642430736282,1.0252461976247407,1.8924943645339205","rgba(184, 132, 84, 0.7)"
Sphere,"-0.781647907095955,0.3033890073966301,1.0169931195795767,-0.24295860950989645,-0.8629143489564278,-0.4246399813653635,-0.16656737512747066,-0.8758985776294876","-0.6176859118416622,0.817570784012154,0.7992658418236491,0.5057769129082044,0.21310186733401304,0.5234520832119625,-0.4526246982248493,-0.9097657557761487","1.4455631358171224,1.6047788538678662,-0.7354511849307424,0.6130264277540012,-0.23078327829737755,1.7831936402976774,0.30507915438971045,0.937871395354593","rgba(159, 102, 87, 0.7)"
Car,"-0.23812254370943686,-0.567159401554425,-0.057663748889308586,0.9027018597619958,-0.8445854811908529,0.4916901335490196,-0.7316116603102653,-0.9642025933916923","1.3153385327535698,0.3174616525695062,0.8855324091639512,0.7456114813275474,-0.5281110354609627,0.2899478766852339,-0.8027447058071796,1.348450353897527","-0.45169802309359186,1.5473342331550293,1.5053466472777663,1.8761071820209536,-0.9984494439082702,1.2194350379126218,1.0581631863120657,-0.2908834922022264","rgba(28, 189, 133, 0.7)"
Cone,"0.39273050924879493,-0.9429351083607895,-0.05195782594187037,1.007917599307417,0.13638193899965367,0.6206957489595804,-0.7359168127306804,0.4348404257818559","0.6002242463853211,-0.9883032643355129,0.6943299254051309,0.6106929648449735,-0.676815162169835,0.01441933394051742,1.1173171258212542,1.9319816226108402","-0.19194725772909071,1.7207409712316313,1.8161960567666187,-0.8911447295578137,-0.434505302529705,-0.6466554386389345,1.7964263630068946,1.0081742897263837","rgba(158, 32, 187, 0.7)"
Bicycle,"-0.9676023723814215,-0.31982042497969854,0.7217109893568407,1.603867193677039,0.768484216586834,-0.3830603733425836,-0.44187080283603064,-0.8601857782423729","-0.7227515376246418,1.9278491414516434,-0.400143605919565,-0.24214848563919011,0.6107511904039793,0.02561313747534255,1.3220076928969196,1.2148432642912805","0.6985535037339468,-0.5711220755942339,1.4628111099169407,0.4980536163398448,-0.9066373671798563,0.03282130099228486,1.0636823900483847,1.9132284663678472","rgba(43, 142, 118, 0.7)"
Cube,"-0.9312234438656637,1.4034198184611615,0.5173943801332495,0.09762075001297132,1.823127424276762,0.8362989023959968,0.06782619792062317,1.3132003864863027","1.9867861807216949,0.3390520164925066,0.9239475373436028,-0.8235299567429517,0.17595846796857062,1.8656621688558372,0.8916298841312393,0.9981630321159307","-0.9752341901551431,-0.1590053362701278,1.1214722786082456,-0.10548685824887094,-0.9560733458392463,0.6647569037554948,0.5220801407969105,0.1821250367312648","rgba(91, 197, 45, 0.7)"
Car,"-0.4576980262219801,1.9998473904749248,-0.6801418089694911,0.3157664876050683,-0.09557963872754127,-0.6076361040871738,0.43763517503316596,0.05707658259624537","-0.6834712136164284,0.21626348544128904,0.6268206647941836,-0.4762949037294475,-0.3345796767514596,-0.29008312734389596,1.434176655651802,-0.2820022887175133","0.18737096682182264,1.7213945391948364,1.6760205066754277,-0.9532177060841757,-0.6770604775895303,0.8079740468332484,-0.4041497616640747,-0.887861726838435","rgba(81, 244, 42, 0.7)"
Cube,"-0.8949199142523228,0.5395702280328178,-0.5538988277086878,-0.8484415156111849,1.2990833612054322,0.30771367432766206,0.22099715825583943,1.341044867213756","-0.37908820772326635,-0.738957593503672,-0.11516906967090623,1.5946218188782426,1.857403490828744,-0.6483681647803257,0.9383680733440634,-0.8627477787544333","1.6166727961953136,-0.253328226034527,0.9628300216881178,0.8836483510261333,0.35849191275864833,0.5047422509560655,-0.6027990079097528,-0.31759740892165733","rgba(244, 78, 101, 0.7)"
Bicycle,"0.7154769219497479,0.14980946931404748,1.7824554223160796,1.2226599640275961,1.9145300988704506,1.4317716737253519,1.3463393069771867,0.12894158923363275","0.41130117810408806,0.21382570328481076,-0.26661994087762797,0.13707268573278064,1.233920810627648,-0.043103768901876394,-0.013386965887973723,1.2078524411332223","0.9870374090083627,0.561816303144449,1.4095529880890325,0.12241282039158197,1.8829708203558901,0.3747651855385081,-0.9992458278460384,0.2479014423658772","rgba(112, 205, 170, 0.7)"
Bicycle,"1.3080430534641905,1.8022354634873152,0.166644325012117,0.8371481154349989,-0.8129501798600092,1.7289384684073101,1.8805409818052308,1.8064738797082076","1.3748611457073716,-0.9189036178479678,-0.7900733067822063,1.1498747778682077,1.9389710312044248,1.884511539248697,-0.5651095779675194,0.09495306825043803","-0.6285496543164149,0.05248006780705383,1.9010044988834847,0.2691776161806694,1.1535110176569892,-0.3358441631928686,1.8249388687483492,-0.7082739347845168","rgba(173, 234, 132, 0.7)"
Car,"1.269198299896658,1.0470973476079406,0.6345087551747062,1.174000370781533,0.040539764925962674,-0.7800504575898979,-0.2656367174807325,-0.5519826517998186","1.3892158874455216,1.9317613974866656,0.8853827057152164,1.2004183126422325,-0.6047792470358198,1.8299327916907089,1.7983249863682222,-0.7811207404605155","-0.7793726493860726,0.10460782445037653,0.9255479577654866,1.03549063865812,0.25396988026338674,1.0061720221483519,0.13523162414038126,1.3052002489822607","rgba(140, 59, 73, 0.7)"
Cube,"-0.6360829664376298,0.8053803682946654,1.2097715519810484,1.8842019821823337,0.2885945243315573,1.485136150509684,1.7321901434774891,1.7958544154944258","0.07169445877129599,0.37406650826325727,-0.37301318440661824,-0.44939512793222747,-0.2047076910338348,-0.8788781805977527,0.07853773552629284,0.15538772146501856","0.5535197536386005,-0.4707524628632477,0.08099486868997863,1.1500126779164956,0.8567597775438225,0.7589834046712505,-0.7404101106672027,0.6206070902426033","rgba(28, 128, 207, 0.7)"
Car,"1.997199366085436,0.1645719919711468,1.5416784640954728,0.14155461115963375,0.773990857785865,-0.49389849255307916,0.7793619521806114,1.660102305394875","0.9482516437953126,1.7219794523226888,0.7286185583949547,-0.7811388853258997,1.8378367135665301,0.9698591135902221,0.2999067431454847,1.4515393512605015","1.8882707349391916,0.428147202428264,0.4496290784341177,0.9165948439660296,-0.7367001818782382,1.8967203581596412,0.870213447591369,1.0167300960760133","rgba(68, 208, 63, 0.7)"
Cone,"-0.40781658762712714,-0.7094316227939295,-0.055771587662152955,1.7194798619944214,1.9259368680048121,-0.9991247056278826,-0.993405776993884,1.9418223548415394","-0.8956198998030902,0.19444614692160767,-0.615047394095392,1.9739213991152966,-0.9639154360131147,-0.11456694933245615,-0.0783947172622903,-0.24227302938090378","-0.8383328505978741,1.5822760604572528,-0.3798157791886091,0.3444874139172769,-0.12508351144029617,1.3806068814763792,1.2880011756320586,-0.05273544269386288","rgba(181, 250, 0, 0.7)"
Sphere,"-0.4584913751906823,-0.540795612669561,0.7509880405127118,1.0326840780682316,-0.4673645776930744,1.0704199649703638,1.3885737690911584,-0.19691894838973478","1.6650971925284885,-0.7512816160698965,0.5977380510264254,-0.08221522691991379,0.4889173888770597,1.6543435211631792,0.058734794464578854,-0.8352318834695747","0.5035421727137455,0.30186950194868545,0.2199968925129654,-0.1643923062552035,1.198020080027001,-0.668583635406754,0.46130546994989596,0.7461352518761579","rgba(228, 250, 84, 0.7)"
Sphere,"0.8307006149330745,-0.5341909941977151,1.4278985254678602,1.330651339229723,-0.7653965679177291,1.2081768640555701,-0.9030191703036409,0.3898542906393829","-0.8492209784476117,-0.05356338496645352,-0.7034669594814056,1.5909764973418126,0.40560240569134187,-0.18189720132191356,1.0910581256476672,-0.21258602194421494","-0.5605517485088515,1.413738706042818,1.0860884354725147,-0.0009067132527917909,-0.41469750037333086,-0.4673453827874158,1.6589155761000929,0.28034665571200934","rgba(59, 221, 29, 0.7)"
Car,"-0.4073128733301099,0.25567459417083116,1.8376894769852328,-0.9752136270275964,1.8612782998147557,-0.9424123984057637,1.0349613412122771,-0.9416018256846439","1.5651191980833894,-0.5353017404361311,-0.6139935798258596,0.35501595571351663,-0.3371997482475808,0.1132859887224833,1.8447474987079517,1.8379459175112807","1.3960391212361607,0.9953243266908065,0.056487553545834235,0.04636393978752129,-0.4882211044477981,0.5008920887837682,1.4886264300152083,-0.6536330510523318","rgba(187, 72, 164, 0.7)"
Bicycle,"1.7141301191091367,0.3993381775785083,0.9482703037230484,1.9273156430915312,0.014969061175500453,1.3214371227153636,1.2015008340351558,-0.9042193618606976","-0.6188584858764379,1.842424298481368,1.2931597726166872,-0.00232763480448539,1.1617119828756954,1.4385449398254675,1.6544955399007173,-0.692395368820884","0.2629081225504821,1.10544988489931,1.6164178954848913,-0.8016185362950591,0.8551855155778918,0.4009403697719556,1.4789215094816601,-0.938685183629865","rgba(231, 108, 25, 0.7)"
Cube,"-0.6995788696966624,0.1767293414494988,-0.5674559847873657,-0.8805183319539394,-0.695319066573377,1.8031291891531263,-0.07532887418077361,-0.565764911572045","-0.4501754849982197,1.9055202384355816,0.32523318134781665,1.8405578668968707,1.3555566986599636,-0.8653500460709106,-0.8273796877016487,0.6542906716339396","-0.8998785712752108,0.3544272737645837,1.5068639123689218,1.8168867338330266,0.04769545793584218,1.9407850777723028,0.7743146511533343,0.753440300102703","rgba(155, 174, 201, 0.7)"
Bicycle,"0.3736077674167375,-0.3750654569050821,-0.692635456429858,1.6478514478854067,0.6043035704621031,1.4906207071966024,1.253217132246109,1.5513238469177248","1.4956979983825534,0.8605638004650231,-0.0571508876202802,0.6023942183824129,1.92227173473964,1.0273798184070513,1.316331660065631,1.8641299356846646","0.20486872045640014,1.6675724059528796,1.7437102096609145,-0.07896547633751072,-0.10072769173488261,-0.7167565816684475,1.9098161609923467,1.124882938567442","rgba(71, 205, 168, 0.7)"
Cube,"0.734110581205085,-0.7188555912118072,0.9163421067902191,0.6479243345058194,-0.3430178591316593,-0.670550522251127,-0.8287905613140031,-0.2992471508015824","0.736751469094663,-0.44683371262425986,0.6227580084233539,0.12515803098858758,0.45321214325137826,-0.0016658306152167457,-0.9469558739288598,1.0579009251595837","0.11248680314377824,-0.5890780385940465,-0.8081388484881559,-0.7740157615741408,-0.5545874782971798,0.40297260665144696,0.3902571496357967,-0.26556055596465333","rgba(250, 46, 72, 0.7)"
Cone,"0.708575866748967,1.0256038642853493,1.0236841920903568,-0.6814095002959424,-0.06365173755199782,0.6997983067500637,-0.342925761279511,-0.9311638926993955","1.0472958580941154,1.0817654598642545,0.5497642434009236,0.5408594425632625,1.789529684530323,0.8814254428490182,0.1438245255861701,-0.8741564479153329","1.4595663358283852,-0.7767283600527042,0.16706714243842313,-0.37051749806593826,1.0162224747342306,1.4785393286253545,1.4648754560235688,0.27161962657311656","rgba(111, 218, 112, 0.7)"
Bicycle,"-0.6333031577088055,-0.8216621344552683,0.10579372340147919,1.925126204270002,0.19288438171337186,0.26892056194925695,0.5426902907570019,1.1781431011865449","0.14598725566436221,-0.11884159676162331,-0.48454111354199336,1.0693736274153953,0.8765814865515855,-0.9417210168703818,1.0970838688856377,-0.9685849673057237","0.9920373813111096,-0.756579138947138,1.959012525634369,1.8040784081090022,1.5547844028773108,-0.21989667007443503,0.32980608377318354,0.580785998923707","rgba(212, 75, 0, 0.7)"
Cube,"-0.044135072244759765,0.2453736833546365,1.3232491304782217,-0.08207148079636517,0.9594068936158722,-0.7824161265491627,0.9326740510231106,-0.027518272453078474","0.028199103731131103,0.5077757834571885,-0.36027265107275563,0.04519078338211591,0.7812006921890142,0.040917021314045954,-0.26082837032898687,0.6151909514784593","1.377873573536795,0.6412930877385379,0.21030451061406374,0.4979002980895375,1.5204434885369822,-0.12491262023700356,-0.8772472426846118,1.7893928401399837","rgba(163, 126, 18, 0.7)"
